Class,F1 Score,Mean IoU,Class Count
faceseasy,1.0,0.8988153251395787,87
airplanes,1.0,0.9317810044967696,160
faces,1.0,0.8593341673691759,87
grandpiano,1.0,0.8612580980772812,20
motorbikes,1.0,0.9154816435908003,160
buddha,1.0,0.840853450309429,17
Leopards,0.9876543209876543,0.9611330398239789,40
bonsai,0.9803921568627451,0.8893742038793621,26
kangaroo,0.9714285714285714,0.8509136118094748,17
menorah,0.9714285714285714,0.8733648963756457,18
sunflower,0.9696969696969697,0.8883743929239033,17
laptop,0.967741935483871,0.8583842913211386,16
ferry,0.9655172413793104,0.899902407654277,14
joshuatree,0.962962962962963,0.9162067794580331,13
cougarface,0.962962962962963,0.8742826200156467,14
soccerball,0.9600000000000001,0.8601540204700693,13
dollarbill,0.9565217391304348,0.9042958695855227,11
watch,0.946236559139785,0.8713796120856198,48
hawksbill,0.9268292682926829,0.872378164185189,20
chair,0.9230769230769231,0.8799772836945443,13
butterfly,0.9090909090909091,0.873872544240047,18
llama,0.9032258064516129,0.8905008790980311,16
brain,0.8947368421052632,0.8722869289570078,20
starfish,0.8823529411764706,0.8424526818697164,17
ketch,0.8800000000000001,0.8715955078574299,23
ewer,0.8717948717948718,0.8821045789643138,17
scorpion,0.8571428571428571,0.8867736195017256,17
helicopter,0.8333333333333334,0.8783270955437373,18
chandelier,0.8163265306122449,0.8995733170739544,22
cup,0.6857142857142856,0.8905937204257071,12
crab,0.6666666666666667,0.9300640289309585,15
crayfish,0.6086956521739131,0.8490090290850286,14
schooner,0.5925925925925927,0.9435118963913115,13
lotus,0.5777777777777777,0.8940343014942811,13
revolver,0.5151515151515151,0.8988765319189048,17
flamingo,0.2777777777777778,0.8735480247456191,14
pyramid,0.15384615384615385,0.9083343214320567,12
trilobite,0.05975395430579965,0.8738930483731078,17
accordion,0.0,0.954090025224718,11
anchor,0.0,0.9404060861713589,8
electricguitar,0.0,0.8494702566417999,15
euphonium,0.0,0.9138411277847701,13
elephant,0.0,0.9195088558379534,13
ant,0.0,0.9559093060288287,8
emu,0.0,0.8612864131752878,11
binocular,0.0,0.888431851858203,6
crocodilehead,0.0,0.9230477221815062,10
dragonfly,0.0,0.8956080311019915,14
barrel,0.0,0.8682282002751078,9
dolphin,0.0,0.9191439134574995,13
dalmatian,0.0,0.8873160018888163,14
bass,0.0,0.8787764290717529,11
crocodile,0.0,0.9189198620650167,10
cellphone,0.0,0.9333879833302349,12
ceilingfan,0.0,0.9223452600587948,9
cannon,0.0,0.9102279619437261,8
camera,0.0,0.8815731412723553,10
beaver,0.0,0.8922789720228891,9
brontosaurus,0.0,0.8871151020503064,8
cougarbody,0.0,0.8826901658304006,9
yinyang,0.0,0.8761269522051962,12
flamingohead,0.0,0.8694268268336723,9
stegosaurus,0.0,0.9078458973814857,12
rhino,0.0,0.785858665172082,12
rooster,0.0,0.8802548677993437,10
saxophone,0.0,0.8706518739114096,8
scissors,0.0,0.9281872930657645,8
seahorse,0.0,0.9333678938589621,12
snoopy,0.0,0.877132661958962,7
stapler,0.0,0.8887841933228356,9
stopsign,0.0,0.8606541716403378,13
pizza,0.0,0.9117067650824963,10
strawberry,0.0,0.9126671466096612,7
tick,0.0,0.8615987855275546,10
umbrella,0.0,0.8300671126697419,15
waterlilly,0.0,0.8357705404621687,7
wheelchair,0.0,0.9170304269888963,12
wildcat,0.0,0.926902674368189,6
windsorchair,0.0,0.9166719946842826,11
platypus,0.0,0.9082786428281958,6
pigeon,0.0,0.9248490977520063,9
garfield,0.0,0.8897295968306088,6
lobster,0.0,0.8890554885735055,8
gerenuk,0.0,0.9084832411400866,6
gramophone,0.0,0.8529210825142739,10
headphone,0.0,0.8615428062251095,8
hedgehog,0.0,0.8992097990934532,11
wrench,0.0,0.9154184530740537,7
inlineskate,0.0,0.9008105892201929,6
lamp,0.0,0.8893197497497365,12
mandolin,0.0,0.904812283336557,8
panda,0.0,0.9113929785015128,7
mayfly,0.0,0.9362378043881471,8
metronome,0.0,0.9222047077875691,6
minaret,0.0,0.8969535550150561,15
nautilus,0.0,0.8188302304783441,11
octopus,0.0,0.8923595772993151,7
okapi,0.0,0.8635272836482479,8
pagoda,0.0,0.911969205570618,9
ibis,0.0,0.9061851518682341,16
