Class,F1 Score,Mean IoU,Class Count
motorbikes,0.8333333333333334,0.8118874372237487,160
airplanes,0.7080459770114943,0.8685717049236713,160
faces,0.12233285917496446,0.8990535182087875,87
yinyang,0.0,0.8232995327215878,12
dalmatian,0.0,0.860059149360554,14
dollarbill,0.0,0.8453866891617247,11
dolphin,0.0,0.8714268170283229,13
dragonfly,0.0,0.8766136532205573,14
electricguitar,0.0,0.8297803023872448,15
elephant,0.0,0.8795782281215179,13
emu,0.0,0.8323097221689937,11
euphonium,0.0,0.8034225874062981,13
ewer,0.0,0.8634051217105999,17
faceseasy,0.0,0.8301538993885129,87
crocodilehead,0.0,0.8676559885332737,10
ferry,0.0,0.8566895864276819,14
flamingo,0.0,0.8745257394764078,14
flamingohead,0.0,0.8558664019728365,9
garfield,0.0,0.8237226447611583,6
gerenuk,0.0,0.838516583058482,6
gramophone,0.0,0.8247399284752617,10
grandpiano,0.0,0.8455723443599246,20
hawksbill,0.0,0.8748487157037826,20
headphone,0.0,0.8781966021939167,8
cup,0.0,0.8774438216214336,12
crocodile,0.0,0.8552380167252717,10
helicopter,0.0,0.8723065589848645,18
crayfish,0.0,0.8023643681337064,14
accordion,0.0,0.924151487441511,11
anchor,0.0,0.8734513476639413,8
ant,0.0,0.8965690179791415,8
barrel,0.0,0.9169622934621305,9
bass,0.0,0.8497296746610139,11
beaver,0.0,0.8510453326206591,9
binocular,0.0,0.8384702227117199,6
bonsai,0.0,0.8573691741902643,26
brain,0.0,0.8135175007977828,20
brontosaurus,0.0,0.8800649809013957,8
buddha,0.0,0.8998024867634341,17
butterfly,0.0,0.9165601988926568,18
camera,0.0,0.8372884030704109,10
cannon,0.0,0.8372528497934395,8
ceilingfan,0.0,0.8421348517780848,9
cellphone,0.0,0.8010813668778166,12
chair,0.0,0.922750982242294,13
chandelier,0.0,0.863441832914262,22
cougarbody,0.0,0.8979030650832129,9
cougarface,0.0,0.8862057577180043,14
crab,0.0,0.8510781588202725,15
hedgehog,0.0,0.8711812524918799,11
ibis,0.0,0.8563693554888586,16
wrench,0.0,0.9075894466373472,7
rhino,0.0,0.8797918744539072,12
saxophone,0.0,0.8161474288047933,8
schooner,0.0,0.878178821313026,13
scissors,0.0,0.8736207581644094,8
scorpion,0.0,0.8807718772845088,17
seahorse,0.0,0.8613256978120688,12
snoopy,0.0,0.8692330683929339,7
soccerball,0.0,0.8527345764803927,13
stapler,0.0,0.8628501010218393,9
starfish,0.0,0.8398442178574417,17
stegosaurus,0.0,0.8126140138727971,12
stopsign,0.0,0.8248077305708215,13
strawberry,0.0,0.8924497825043161,7
sunflower,0.0,0.8832355102680944,17
tick,0.0,0.7911544472479728,10
trilobite,0.0,0.898201976342206,17
umbrella,0.0,0.921262737113293,15
watch,0.0,0.8630833308665165,48
waterlilly,0.0,0.8760997870724846,7
wheelchair,0.0,0.8659531526513604,12
wildcat,0.0,0.8279399471667905,6
windsorchair,0.0,0.9000910613492596,11
rooster,0.0,0.8927529322118818,10
revolver,0.0,0.8626536191688222,17
inlineskate,0.0,0.8346103030484051,6
pyramid,0.0,0.9168865827332876,12
joshuatree,0.0,0.8250346338526171,13
kangaroo,0.0,0.8463346826835293,17
ketch,0.0,0.7981717231932213,23
lamp,0.0,0.8938413890953059,12
laptop,0.0,0.8442463482903936,16
llama,0.0,0.8787859647490075,16
lobster,0.0,0.845991361853724,8
lotus,0.0,0.851204141222645,13
mandolin,0.0,0.9135349846659984,8
mayfly,0.0,0.8405150783251696,8
menorah,0.0,0.8163538556992618,18
metronome,0.0,0.9002129881522962,6
minaret,0.0,0.8404463079850851,15
nautilus,0.0,0.8032156312660481,11
octopus,0.0,0.8822559835125032,7
okapi,0.0,0.8352690912194124,8
pagoda,0.0,0.8499544889721528,9
panda,0.0,0.9107766230035151,7
pigeon,0.0,0.7144299386956152,9
pizza,0.0,0.86059490247046,10
platypus,0.0,0.8664446725796412,6
Leopards,0.0,0.924581892780636,40
